rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;rozszerzony;jezyk wloski;ogolem;2017;68.1
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2017;26.4
pisemny;rozszerzony;geografia;ogolem;2017;30.6
pisemny;rozszerzony;biologia;ogolem;2017;36.6
pisemny;rozszerzony;chemia;ogolem;2017;41.2
pisemny;rozszerzony;historia;ogolem;2017;33.3
pisemny;rozszerzony;fizyka;ogolem;2017;40.2
pisemny;rozszerzony;historia muzyki;ogolem;2017;46.6
pisemny;rozszerzony;historia sztuki;ogolem;2017;44.0
pisemny;rozszerzony;filozofia;ogolem;2017;42.0
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2017;64.5
pisemny;rozszerzony;informatyka;ogolem;2017;32.9
pisemny;rozszerzony;jezyk kaszubski;ogolem;2017;73.7
pisemny;rozszerzony;jezyk lemkowski;ogolem;2017;90.0
ustny;nie dotyczy;jezyk polski;kobiety;2017;67.0
ustny;nie dotyczy;jezyk angielski;kobiety;2017;68.2
ustny;nie dotyczy;jezyk niemiecki;kobiety;2017;64.3
ustny;nie dotyczy;jezyk francuski;kobiety;2017;79.3
ustny;nie dotyczy;jezyk rosyjski;kobiety;2017;66.6
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2017;79.2
ustny;nie dotyczy;jezyk wloski;kobiety;2017;82.1
ustny;nie dotyczy;jezyk polski;mezczyzni;2017;62.2
ustny;nie dotyczy;jezyk angielski;mezczyzni;2017;69.0
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2017;62.4
ustny;nie dotyczy;jezyk francuski;mezczyzni;2017;81.3
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2017;60.7
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2017;79.9
ustny;nie dotyczy;jezyk wloski;mezczyzni;2017;80.7
ustny;nie dotyczy;jezyk polski;ogolem;2017;64.9
ustny;nie dotyczy;jezyk angielski;ogolem;2017;68.5
ustny;nie dotyczy;jezyk niemiecki;ogolem;2017;63.6
ustny;nie dotyczy;jezyk francuski;ogolem;2017;79.9
ustny;nie dotyczy;jezyk rosyjski;ogolem;2017;64.5
