rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;rozszerzony;jezyk francuski;ogolem;2022;60.9
pisemny;rozszerzony;jezyk rosyjski;ogolem;2022;79.0
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2022;52.2
pisemny;rozszerzony;jezyk wloski;ogolem;2022;67.9
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2022;30.4
pisemny;rozszerzony;geografia;ogolem;2022;40.4
pisemny;rozszerzony;biologia;ogolem;2022;43.4
pisemny;rozszerzony;chemia;ogolem;2022;36.8
pisemny;rozszerzony;historia;ogolem;2022;38.0
pisemny;rozszerzony;fizyka;ogolem;2022;36.7
pisemny;rozszerzony;historia muzyki;ogolem;2022;37.9
pisemny;rozszerzony;historia sztuki;ogolem;2022;38.9
pisemny;rozszerzony;filozofia;ogolem;2022;38.8
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2022;47.7
pisemny;rozszerzony;informatyka;ogolem;2022;40.1
pisemny;rozszerzony;jezyk kaszubski;ogolem;2022;60.7
pisemny;rozszerzony;jezyk lemkowski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk polski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk angielski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk niemiecki;kobiety;2022;0.0
ustny;nie dotyczy;jezyk francuski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk rosyjski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk wloski;kobiety;2022;0.0
ustny;nie dotyczy;jezyk polski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk angielski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk francuski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk wloski;mezczyzni;2022;0.0
ustny;nie dotyczy;jezyk polski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk angielski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk niemiecki;ogolem;2022;0.0
ustny;nie dotyczy;jezyk francuski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk rosyjski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2022;0.0
ustny;nie dotyczy;jezyk wloski;ogolem;2022;0.0
pisemny;podstawowy;jezyk polski;kobiety;2023;59.3
pisemny;podstawowy;jezyk bialoruski;kobiety;2023;44.0
pisemny;podstawowy;jezyk litewski;kobiety;2023;0.0
pisemny;podstawowy;jezyk ukrainski;kobiety;2023;0.0
pisemny;podstawowy;matematyka;kobiety;2023;46.7
pisemny;podstawowy;jezyk angielski;kobiety;2023;67.5
pisemny;podstawowy;jezyk niemiecki;kobiety;2023;49.7
pisemny;podstawowy;jezyk francuski;kobiety;2023;70.3
pisemny;podstawowy;jezyk rosyjski;kobiety;2023;68.4
pisemny;podstawowy;jezyk hiszpanski;kobiety;2023;63.3
pisemny;podstawowy;jezyk wloski;kobiety;2023;87.5
pisemny;podstawowy;jezyk polski;mezczyzni;2023;55.4
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2023;0.0
pisemny;podstawowy;jezyk litewski;mezczyzni;2023;0.0
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2023;0.0
pisemny;podstawowy;matematyka;mezczyzni;2023;53.3
pisemny;podstawowy;jezyk angielski;mezczyzni;2023;76.5
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2023;52.4
pisemny;podstawowy;jezyk francuski;mezczyzni;2023;80.8
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2023;69.2
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2023;74.7
pisemny;podstawowy;jezyk wloski;mezczyzni;2023;91.5
pisemny;podstawowy;jezyk polski;ogolem;2023;57.0
pisemny;podstawowy;jezyk bialoruski;ogolem;2023;44.0
pisemny;podstawowy;jezyk litewski;ogolem;2023;0.0
pisemny;podstawowy;jezyk ukrainski;ogolem;2023;0.0
pisemny;podstawowy;matematyka;ogolem;2023;50.6
pisemny;podstawowy;jezyk angielski;ogolem;2023;72.9
pisemny;podstawowy;jezyk niemiecki;ogolem;2023;50.8
pisemny;podstawowy;jezyk francuski;ogolem;2023;74.7
pisemny;podstawowy;jezyk rosyjski;ogolem;2023;68.8
pisemny;podstawowy;jezyk hiszpanski;ogolem;2023;66.1
pisemny;podstawowy;jezyk wloski;ogolem;2023;89.0
pisemny;rozszerzony;jezyk polski;kobiety;2023;50.3
pisemny;rozszerzony;jezyk bialoruski;kobiety;2023;0.0
pisemny;rozszerzony;jezyk litewski;kobiety;2023;100.0
pisemny;rozszerzony;jezyk ukrainski;kobiety;2023;80.7
pisemny;rozszerzony;matematyka;kobiety;2023;14.2
pisemny;rozszerzony;jezyk angielski;kobiety;2023;52.9
pisemny;rozszerzony;jezyk niemiecki;kobiety;2023;40.6
pisemny;rozszerzony;jezyk francuski;kobiety;2023;36.8
pisemny;rozszerzony;jezyk rosyjski;kobiety;2023;72.6
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2023;40.1
pisemny;rozszerzony;jezyk wloski;kobiety;2023;62.1
